label idx,arxiv category
0,Numerical Analysis
1,Multimedia
2,Logic in Computer Science
3,Computers and Society
4,Cryptography and Security
5,Distributed and Parallel and Cluster Computing
6,Human-Computer Interaction
7,Computational Engineering and Finance and Science
8,Networking and Internet Architecture
9,Computational Complexity
10,Artificial Intelligence
11,Multiagent Systems
12,General Literature
13,Neural and Evolutionary Computing
14,Symbolic Computation
15,Hardware Architecture
16,Computer Vision and Pattern Recognition
17,Graphics
18,Emerging Technologies
19,Systems and Control
20,Computational Geometry
21,Other Computer Science
22,Programming Languages
23,Software Engineering
24,Machine Learning
25,Sound
26,Social and Information Networks
27,Robotics
28,Information Theory
29,Performance
30,Computation and Language
31,information Retrieval
32,Mathematical Software
33,Formal Languages and Automata Theory
34,Data Structures and Algorithms
35,Operating Systems
36,Computer Science and Game Theory
37,Databases
38,Digital Libraries
39,Discrete Mathematics
